"","assig.vecU","assig.vecC","assig.vecAr","assig.vecAm","assig.vecT"
"968",20,16,20,2,7
"969",2,25,16,3,19
"970",2,4,4,15,2
"971",18,19,14,8,4
"972",3,3,3,1,2
"973",15,24,1,4,16
"974",2,4,3,10,16
"975",21,16,16,11,6
"976",2,16,3,9,10
"977",7,5,4,25,3
"978",3,3,3,1,20
"979",18,8,9,3,9
"980",18,11,15,17,3
"981",2,23,8,14,18
"982",20,11,10,2,9
"983",16,7,3,24,8
"984",2,8,5,8,6
"985",1,1,8,15,8
"986",2,3,3,23,2
"987",21,21,4,7,2
"988",7,13,11,8,14
"989",7,23,12,22,22
"990",7,23,20,8,14
"991",7,21,3,6,10
"992",25,24,20,10,25
"993",9,12,14,11,9
"994",2,15,23,25,16
"995",18,23,15,3,3
"996",2,3,3,10,24
"997",21,21,21,16,9
"998",3,3,3,16,18
"999",2,20,23,4,1
"1000",18,9,11,1,2
"1001",7,10,10,2,13
"1002",18,8,20,8,8
"1003",2,4,4,19,9
"1004",2,16,16,14,1
"1005",2,14,16,9,24
"1006",18,9,16,17,17
"1007",10,10,3,3,10
"1008",11,11,11,16,16
"1009",12,4,6,10,4
"1010",4,8,9,11,3
"1011",2,8,9,10,9
"1012",18,22,24,24,3
"1013",9,9,9,8,1
"1014",20,13,15,20,2
"1015",7,6,6,7,1
"1016",3,3,3,5,22
"1017",2,15,15,24,16
"1018",9,8,12,14,1
"1019",4,4,5,17,16
"1020",12,12,9,10,20
"1021",9,3,3,14,2
"1022",21,6,3,11,15
"1023",18,6,6,24,4
"1024",18,6,14,11,7
"1025",25,3,10,15,1
"1026",10,4,10,12,15
"1027",3,13,14,8,9
"1028",2,2,2,12,21
"1029",4,4,4,7,4
"1030",18,5,9,16,9
"1031",3,3,3,8,8
"1032",18,23,5,23,20
"1033",21,16,16,2,3
"1034",7,23,4,17,16
"1035",2,14,20,21,21
"1036",18,18,24,3,8
"1037",2,21,4,8,14
"1038",18,3,3,16,9
"1039",7,3,3,4,19
"1040",2,3,3,1,24
"1041",2,3,6,10,18
"1042",2,14,14,14,7
"1043",18,3,3,11,18
"1044",7,24,4,23,3
"1045",2,14,14,3,23
"1046",21,23,23,11,3
"1047",2,22,6,1,16
"1048",9,9,9,3,8
"1049",18,9,9,3,9
"1050",20,20,20,20,12
"1051",7,15,14,11,8
